tab,title,year,description,slug,images
creative-strategy,Adidas Originals | Wales Bonner,2025,"Development of comprehensive long-term strategy for the adidas Originals by Wales Bonner partnership. This strategic roadmap guides the collaboration from Spring/Summer 2026 through to the end of 2028, focusing on sustained brand growth, creative evolution, and global market relevance.",,
creative-strategy,Adidas AG BU Sportswear & Training,2025,Articulating the strategic approach for the future of Adidas Sportswear & Training Collaborations. Conceptualising possible scenarios and a collaboration framework with suggested partners to identify priorities for future collaborations that push the boundaries of the current collaboration landscape in the sports and lifestyle sectors.,,
creative-strategy,NTS,2025,"Developing strategy decks for NTS Radio's 2025 partnerships and collaborations—ideating brand activations, sample talent, curation, and creative teams. Brand projects include adidas Originals, Diesel, Bershka, Coach, and Marshall.",,
creative-strategy,Convoy,2024,High-level brand strategy and pitch deck development,,
consulting,XL Recordings | Keiyaa Album Release,2025,"Creative and brand consulting across the ""Stupid Prizes"" and ""Take It"" videos and press imagery for the Hooke's Law release. Services include: styling direction, relationship management, brand partnership outreach.",,keiyaa-01|keiyaa-02|keiyaa-03|keiyaa-04|keiyaa-05
consulting,Nuba SS26 Fashion East Show,2025,"Creative Production of Nuba SS26 Show ""Solid"" with Fashion East. Creative Oversight and Management across Casting, Art Direction, music, sponsorship direction, Text, Styling, Photography, Creative Assets, Press Features and Facilitation of show operations for Nuba SS26 show.",,
consulting,Rachel Jones Studio,2025,"Conceptualised and articulated the context, inspiration, and future vision for Rachel Jones' opera—supporting its continued development and positioning for global expansion.",,
consulting,Liz Johnson Arthur | High Hopes Sunday Session | 180 Studio,2025,Facilitated the collaboration Liz Johnson Artur in Judah Afriyie's High Hopes Sunday Session at Devon Turnbull's Listening Room. Curated the discussion exploring her documentation of communities and the role of music in building CULTURAL CONNECTION.,,
consulting,Roc Nation,2024,"Creative research and brand book development for Caal Vo—supporting album rollout for American Circus Freak through narrative framing, visual direction, and strategic positioning.",,
consulting,Dauan Jacari,2024,"Developed integration strategy and brand activation for emerging New York-based designer Dauan Jacari's London debut. Led showroom production at Young Space, facilitating content creation, press appointments, and interviews.",,
consulting,10K Global,2023,Creative research and advisory for MIKE—supporting the selection of album cover artist D.A. Jasper in alignment with the project's artistic vision and narrative tone.,,
curation,XL Recordings | Keiyaa Album Listening,2025,Developed the theme and crafted interview questions for KeiyaA's album listening event with XL Recordings in London.,,
curation,Alexander McQueen | Reverb,2025,"Description Talk questions, narration of evening, conversation with Nilufer Yanya",,
curation,Prologue+ | Supreme,2024,"Production, facilitation, and curation of live performance and film screening for PROLOGUE+, supported by Supreme New York. FEATURING LAUREN DUFFUS, SEES00000, DJ PAPERWORLD & VIVIAN FOREVER.",,
curation,Ladji Diaby | Kunstverein Nuernberg,2024,Concept development and EXHIBITION TEXT writing for No One Has Ever Called Their Child Hunger at Kunstverein Nürnberg—shaping curatorial narrative and exhibition language.,,
curation,Taka | Young Space,2024,"Music programming, artist relations, and curation for Taka AT Young Records—supporting production and creative direction across THE PERFORMANCE.",,
curation,Church of Sound | James Baldwin 'A Lover's Question',2024,Co-curation of Church of Sound by David Linx—a live celebration of James Baldwin's record A Lover's Question.,,
curation,BLK NWS,2023,"Curation, production, and facilitation of a poetry and screening programme for Khalil Joseph's BLKNWS AT THE MUSIC CENTRE LA.",,
curation,Rachel Jones Catalogue | Long Museum | Thaddeus Ropac,2023,"Development of the Rachel Jones catalogue for A Shorn Root at the Long Museum—contributing a visual essay and research, while overseeing graphic design direction, licensing, and copyright coordination to ensure a cohesive and high-quality publication.",,
curation,Aldeburgh Festival of Arts | Britten Pears,2019,,,
creative-direction,Suutoo,2025,Loud / Extra – Music video Co-Direction,,
creative-direction,Akeem Smith Studio,2025,"Creative research, concept development, and image sourcing for an artistic publication FOR Akeem Smith Studio.",,
creative-direction,Acne Paper | Ola's Visuals,2024,Styling and image research for Ola Ebiti and Thibaut Grevet's Because the Night—AN Acne Paper feature,,
creative-direction,Nuba SS24 'Smoke',2023,"Research, interview, transcription, and editing of a feature with NUBA for Boy.Brother.Friend—shaping the narrative and tone of the conversation.",,
creative-direction,10K Global | Mike | Beware of the Monkey,2023,"Creative direction across music video and merch design—leading direction, production, and post-production for the video; designing merchandise; and developing the Ipari Park rollout strategy.",,
creative-direction,Klein Fact Magazine,2021,"Creative concept, styling, and artist supervision for Klein's FACT Magazine cover story—shot by Gabriel Moses.",,
creative-direction,Moses Boyd,2020,"Creative direction for Moses Boyd—developing press kit materials, styling, and overseeing artist relations to support his visual and narrative identity.",,
cultural-research,Locally Grown,2025,"A 24-hour channel showcasing archival material, lectures, films, and pop-cultural content. It explores themes of history, politics, cultural studies, and sonic and visual art.",,
cultural-research,Dauan Jacari | Boy.Brother Friend,2025,"Research, interview, transcription, and editing of a feature with Dauan Jacari for Boy.Brother.Friend—shaping the narrative and tone of the conversation.",,
cultural-research,SSR | NISM,2024,"Contributed to the curation and research talks for SELFSTUDY ROOM NISM SSR*—an experimental, temporary public space dedicated to knowledge sharing, reflection, and cultural inquiry.",,
cultural-research,Nuba | Boy.Brother Friend,2023,"Research, interview, transcription, and editing of a feature with NUBA for Boy.Brother.Friend—shaping the narrative and tone of the conversation.",,
cultural-research,Air Afrique | London Stop Over,2023,Talk moderation and event facilitation for the London launch of Air Afrique—supporting dialogue and audience engagement during the launch event.,,
cultural-research,Locally Grown,2020,"Research, programming, and creative direction for Locally Grown TV—leading the art direction of a 24-hour screening programme.",,
cultural-research,Cura Magazine,2019,Research & Transcription of interview with JOSIANE m.h poZI FOR CURA MAGAZINE,,
